Ticker,Company name,Security Code,Group,Face Value,ISIN No,Industry, BSE Market Cap ,Categorization
ATULAUTO,ATUL AUTO LTD.,531795,B ,5,INE951D01028,2/3 Wheelers,511.58,Small Cap
TVSMOTOR,TVS MOTOR COMPANY LTD.,532343,A ,1,INE494B01023,2/3 Wheelers,"19,895.70",Mid Cap
ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,505029,T ,5,INE446A01025,2/3 Wheelers,31.69,Small Cap
EICHERMOT,EICHER MOTORS LTD.,505200,A ,10,INE066A01013,2/3 Wheelers,"52,402.57",Large Cap
MAJESAUT,MAJESTIC AUTO LTD.,500267,X ,10,INE201B01022,2/3 Wheelers,135.25,Small Cap
KINETICENG,KINETIC ENGINEERING LTD.,500240,XT,10,INE266B01017,2/3 Wheelers,58.44,Small Cap
JRELTD,JUSTRIDE ENTERPRISES LIMITED,531035,P ,10,INE432F01024,2/3 Wheelers,1.12,Small Cap
HEROMOTOCO,HERO MOTOCORP LTD.,500182,A ,2,INE158A01026,2/3 Wheelers,"50,920.96",Large Cap
BAJAJ-AUTO,BAJAJ AUTO LTD.,532977,A ,10,INE917I01010,2/3 Wheelers,"85,371.33",Large Cap
SCOOTER,SCOOTERS INDIA LTD.,505141,T ,10,INE959E01011,2/3 Wheelers,125.94,Small Cap
PRESSMN,PRESSMAN ADVERTISING LIMITED,509077,B ,2,INE980A01023,Advertising & Media,50.33,Small Cap
DNAMEDIA,DILIGENT MEDIA CORPORATION LIM,540789,T ,1,INE016M01021,Advertising & Media,4.95,Small Cap
SMEL,SUNGOLD MEDIA AND ENTERTAINMEN,541799,M ,10,INE266S01011,Advertising & Media,3.21,Small Cap
ESHAMEDIA,ESHA MEDIA RESEARCH LIMITED,531259,XT,10,INE328F01016,Advertising & Media,3.47,Small Cap
NETWORK18,NETWORK18 MEDIA & INVESTMENTS,532798,A ,5,INE870H01013,Advertising & Media,"2,473.01",Small Cap
AFFLE,AFFLE (INDIA) LIMITED,542752,B ,10,INE00WC01019,Advertising & Media,"3,146.89",Small Cap
VISIONCINE,VISION CINEMAS LTD.,526441,X ,1,INE515B01025,Advertising & Media,6.57,Small Cap
TANAA,TANEJA AEROSPACE & AVIATION LT,522229,X ,5,INE692C01020,Aerospace,57.24,Small Cap
HAL,HINDUSTAN AERONAUTICS LIMITED,541154,A ,10,INE066F01012,Aerospace,"23,904.32",Mid Cap
INSECTICID,INSECTICIDES (INDIA) LTD.,532851,B ,10,INE070I01018,Agrochemicals,"1,190.38",Small Cap
SHARDACROP,SHARDA CROPCHEM LIMITED,538666,B ,10,INE221J01015,Agrochemicals,"2,444.90",Small Cap
SHIVALIK,SHIVALIK RASAYAN LTD.,539148,X ,5,INE788J01021,Agrochemicals,296.08,Small Cap
JUBLINDS,JUBILANT INDUSTRIES LTD.,533320,B ,10,INE645L01011,Agrochemicals,137.23,Small Cap
ADARSHPL,ADARSH PLANT PROTECT LTD.,526711,X ,10,INE627D01016,Agrochemicals,3.1,Small Cap
BHASKAGR,BHASKAR AGROCHEMICALS LTD.,524534,XT,10,INE972C01018,Agrochemicals,9.03,Small Cap
NACLIND,NACL INDUSTRIES LIMITED,524709,B ,1,INE295D01020,Agrochemicals,456.69,Small Cap
BAYERCROP,BAYER CROPSCIENCE LTD.,506285,A ,10,INE462A01022,Agrochemicals,"11,543.42",Mid Cap
BHARATRAS,BHARAT RASAYAN LTD.,590021,B ,10,INE838B01013,Agrochemicals,"2,266.55",Small Cap
AIMCOPEST,AIMCO PESTICIDES LTD.,524288,X ,10,INE008B01013,Agrochemicals,100.3,Small Cap
PHYTO,PHYTO CHEM (INDIA) LTD.,524808,X ,10,INE037C01010,Agrochemicals,10.25,Small Cap
PIIND,P.I.INDUSTRIES LTD.,523642,A ,1,INE603J01030,Agrochemicals,"17,778.10",Mid Cap
MODIPON,MODIPON LTD.,503776,X ,10,INE170C01019,Agrochemicals,13.53,Small Cap
RALLIS,RALLIS INDIA LTD.,500355,A ,1,INE613A01020,Agrochemicals,"3,227.79",Small Cap
