Ticker,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Last,1-Year Beta,Basic EPS (FY),EBITDA (TTM),Goodwill,Industry,Last Year Revenue (FY),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Total Debt (MRQ),Total Revenue (FY),YTD Performance,Yearly Performance,Number of Employees,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Monthly Performance,Total Assets (MRQ),Total Current Assets (MRQ),Total Shares Outstanding (MRQ)
RELIANCE,16887752,12116800000000,30.14657762,63.4135,Energy Minerals,1919.9,0.7997786,62.8948,876350000000,102590000000,Oil Refining/Marketing,5958870000000,2411560000000,393540000000,6.61766561,0.4464758,3.62990535,9.36506105,6.28108301,30461767.32202558,3449910000000,5958870000000,28.01236015,51.55578367,195618,25.75548908,1277320000000,366160000000,9.1224281,11659150000000,2582600000000,6339400000
TCS,2952719,8260300000000,26.45373856,83.1924,Technology Services,2207.8999,0.6308745,86.1852,420960000000,17520000000,Information Technology Services,1569490000000,-313200000000,323400000000,19.87090943,3.49267098,25.09627057,34.88303228,32.57335448,3369906.19169188,81720000000,1569490000000,2.1372022,4.72914809,465737,32.86399022,526260000000,118440000000,7.98688741,1266610000000,956930000000,3752380000
HDFCBANK,32562064,6034640000000,21.24661509,52.0279,Finance,1133.05,1.1748751,49.8353,,0,Regional Banks,1477444608000,492272100000,272539506000,19.07432977,,1.95824006,16.58425246,8.80981145,12630862.41889015,1596812300000,1477444608000,-10.93074444,-5.13448456,116971,,,,9.64823148,15962523500000,1104540200000,5490280000
HINDUNILVR,2816285,5482320000000,74.95529107,31.1724,Consumer Non-Durables,2330.95,0.42167532,31.1715,98610000000,1170000000,Household/Personal Care,396120000000,-61230000000,67480000000,16.98212804,1.02543737,34.84090557,83.94632207,80.90049096,,8420000000,396120000000,21.21424857,35.63074596,,47.01002941,179960000000,42990000000,11.38215267,201530000000,123210000000,2349550000
INFY,18421083,3850280000000,22.52997311,40.1422,Technology Services,934.29999,0.8101711,38.9736,236740000000,53690000000,Information Technology Services,907910000000,-215720000000,165940000000,18.38040862,2.25022207,18.49669547,27.79205731,26.24926786,3745951.45458821,45220000000,907910000000,27.78499138,30.26141373,242371,33.454934,257850000000,79620000000,32.42151559,984390000000,582650000000,4259160000
HDFC,3915997,3132710000000,14.85807142,124.0756,Finance,1806.05,1.2828175,124.1576,266727599999.99997,16067700000,Finance/Rental/Leasing,1019475500000,2881868300000,214345700000,21.06100257,,3.08258048,17.99619079,8.03572018,192753923.2369068,2936883600000,1019475500000,-25.13937535,-18.92941308,5289,31.38960011,914136500000,53094500000,-1.58302,7298149300000,,1734610000
BHARTIARTL,9610173,3094370000000,,-62.8074,Communications,575.75,0.6158871,-63.41,366181000000,0,Wireless Telecommunications,875390000000,1185675000000,-321832000000,-36.76441358,,-9.97914912,-43.32482987,-18.32446335,,1482281000000,875390000000,26.3163696,60.57732982,,20.95751608,182781000000,55875000000,0.56768559,3607790000000,766432000000,5454068000
KOTAKBANK,3481861,2628640000000,29.71016115,44.9734,Finance,1319.05,1.1114632,44.7311,,8137530000,Financial Conglomerates,525413400999.9999,564650833000,85933610000,16.30482464,,2.05007978,13.70347052,6.62824058,,672056039000,525413400999.9999,-21.68789147,-10.62438595,,,,,1.2706334,4431727117000,679679689000,1978800000
ITC,18918931,2384690000000,15.62399356,12.4639,Consumer Non-Durables,192.7,0.22590302,12.47,192601600000,2025300000,Tobacco,494040500000,-249519000000,153062300000,30.2405078,3.1946187,20.52248694,46.89892921,46.74859918,,2737700000,494040500000,-18.93142617,-29.45267909,,53.99353038,261178800000,62374000000,4.69980983,773670400000,395053500000,12292200000
ICICIBANK,36313319,2291560000000,24.33287414,14.7959,Finance,363,1.6195992,14.81,,0,Regional Banks,1497861000000,859988600000,95663100000,6.38664736,,0.73022836,8.06557075,2.7918459,,2138517799999.9995,1497861000000,-32.64056661,-15.75771445,,,,,-0.2198983,13772922300000,1278529200000,6476080000
BAJFINANCE,10556334,1986820000000,36.98935574,89.91,Finance,3441.5,1.6645956,89.77,114403900000,32700000.00000001,Finance/Rental/Leasing,263738000000,1069965500000,52637500000,20.0281488,,3.64725844,20.23559986,4.73370498,,1083792700000,263738000000,-18.73192042,0.36307432,,58.85150005,155495900000,42982500000,27.52908443,1643913700000,,601739000
MARUTI,912611,1787720000000,31.50389521,187.8974,Consumer Durables,5867.5,1.4517275,187.95,73126000000,,Motor Vehicles,756600000000,-10660000000,56760000000,7.50198255,0.46231889,8.87921082,11.76310889,11.75419323,,1818000000,756600000000,-20.37157777,-1.01890891,,19.60785091,156738000000,37869000000,-0.50616123,636277000000,84406000000,302080000
HCLTECH,10543170,1691840000000,15.29915838,40.7353,Technology Services,648.59998,1.0147188,40.75,173160000000,161540000000,Information Technology Services,706760000000,-43780000000,110570000000,15.64463184,1.61521281,15.63036733,23.87270195,21.97402546,,75870000000,706760000000,14.17004098,27.31376583,,28.42832079,200920000000,55060000000,13.86938251,829060000000,384200000000,2713670000
SBIN,45680606,1680500000000,8.49669072,22.1498,Finance,190.75,1.2213333,22.1498,,15499882000,Regional Banks,3622574267000,1460111813000,197678022000,5.4541338,,0.48894136,8.14233941,3.14277465,14522362.44427697,3437230702000,3622574267000,-42.84644195,-46.14624658,249448,,,,3.38753388,41974923443000,4819032138000,8924610000
NESTLEIND,196577,1661570000000,81.76590679,210.7229,Consumer Non-Durables,17247,0.6290597,204.2769,29772700000,0,Food: Major Diversified,123172600000,-22623600000,19695500000,16.00870523,,25.76890997,70.26578666,69.1764367,16103098.44424108,531400000,123172600000,16.64925078,49.31885771,7649,44.21970465,49720700000,14222500000,7.15850101,71981700000,38171700000,96415716
ASIANPAINT,1848600,1647850000000,60.91325561,28.2024,Process Industries,1751.6,0.44531748,28.2258,41600800000,3199900000,Industrial Specialties,200946000000,-6448100000,27074100000,13.38157133,0.9566065,17.02314237,27.56304625,26.70937326,8746670.14886393,11185000000,200946000000,-1.86839968,32.40107336,22974,33.01387151,61562200000,15949000000,7.9568567,161547700000,75801100000,959198000
WIPRO,21395182,1487670000000,15.49502926,16.8984,Technology Services,270.79999,0.84642404,16.6658,126289000000,131596000000,Information Technology Services,610232000000,-279247000000,97218000000,15.88462632,2.55870999,11.32568357,17.20521043,16.46647854,3487040,94061000000,610232000000,10.17086656,1.4422101,175000,28.86138889,174147000000,45431000000,21.95451025,841108000000,546126000000,5689005207
LT,3036076,1299390000000,13.61904046,68.0452,Industrial Services,919.59998,0.9704501,68.04,165795600000,80114000000,Engineering & Construction,1454523600000,1153561400000,95490300000,6.11503313,1.20898092,3.02299743,13.77939026,6.19193577,,1431736700000,1454523600000,-29.16345864,-38.67493715,,15.47822256,225134200000,66428700000,2.3825395,3081401300000,1783226800000,1403990000
DMART,1556417,1288360000000,124.20411985,16.179,Retail Trade,2019,0.66440415,20.71,16433200000,782700000,Specialty Stores,248702000000,1766300000,13010800000,4.4382405,,13.63353203,15.61246977,15.29425525,,2991900000,248702000000,9.82674681,49.46698253,,10.88081253,29367600000,3285300000.00001,-14.56318535,120764500000,23476700000,647775000
HDFCLIFE,3020897,1241280000000,95.58103,6.4291,Finance,616.45001,0.9191499,6.4296,,0,Multi-Line Insurance,419392050000,-6901837000,12974447000,4.42773059,,0.98951054,20.8437803,20.8437803,,0,419392050000,-1.53342068,35.26056171,,,,,18.29783797,1322238494000,102480044000,2019170000
AXISBANK,30400830,1222920000000,62.64645616,6.9655,Finance,434,1.7721034,6.83,,0,Regional Banks,800576700000,573804000000,18784936000,2.32997863,,0.21415825,2.42025393,0.7483306,,1551801700000,800576700000,-42.44794967,-43.58141046,,,,,4.06426338,9278718100000,977997700000,2822020000
SUNPHARMA,16111403,1207560000000,32.086448,15.6951,Health Technology,483.79999,0.49679098,15.69,69981500000,64814600000,Pharmaceuticals: Major,328375000000,-38066100000,37649300000,11.46533689,1.51397676,5.62633521,8.68761401,8.34564329,,75783000000,328375000000,11.84834151,23.35542521,,46.26393605,151919200000,36528600000,-0.88097109,682524600000,316541600000,2399280000
ULTRACEMCO,277775,1115350000000,19.20608185,202.1713,Non-Energy Minerals,3865.1001,0.7867507,201.61,90420700000,62524900000,Construction Materials,421248300000,181150300000,58148400000,14.03899307,0.60608484,7.89049072,17.01119552,10.99686792,,228979300000,421248300000,-4.4722606,-13.73892634,,52.2755903,221322400000,58461300000,0.74941023,793371300000,139315800000,288626000
BAJAJFINSV,1221890,1012210000000,30.05065332,211.6959,Finance,6620.1499,1.3437238,211.7,,6893400000,Life/Health Insurance,494974300000,1032597000000,33691300000.000004,6.48669057,,1.46450013,12.23643779,4.12990698,,1057849300000,494974300000,-29.52301168,-13.55475533,,,,,12.20973803,2513841900000,56363000000,159137000
ONGC,15570377,1010830000000,9.46173479,8.4921,Energy Minerals,80.300003,0.8002471,8.67,612035000000,142366500000,Integrated Oil,4250014200000,1057790600000.0002,109071500000,2.51372337,0.40515524,2.18230266,5.13146702,3.90691672,,1168280100000,4250014200000,-37.65527717,-47.04912081,,29.54122365,1257732300000,274960700000,-6.35568163,5038980700000,807220900000,12580300000
BPCL,14373074,962930000000,28.56517533,15.5364,Energy Minerals,437.29999,0.8359241,15.53,88342600000,,Oil Refining/Marketing,2845719000000,552748400000,30553600000,1.0736689,0.34851468,2.12329697,8.11548394,3.98181483,,616482200000,2845719000000,-11.03651736,25.08580592,,8.3912607,238791700000,46835000000,14.91262685,1508635600000,432306800000,2169250000
BRITANNIA,3785159,910613000000,53.62374689,70.5944,Consumer Non-Durables,3982.6499,0.75666416,58.3507,21654500000,1389700000,Food: Specialty/Candy,115977600000,4217800000,14026300000,13.77690872,,19.91799234,32.41269027,29.53337383,,15534000000,115977600000,31.53609551,43.80133596,,35.02157893,32106700000,12398600000,15.82352736,78422300000,36749700000,240642000
TITAN,3349881,885789000000,59.46095605,16.7816,Consumer Durables,1001.7,1.2403293,16.9116,24665800000,1230100000,Other Consumer Specialties,209875900000,28212100000,15013900000,7.07715445,0.34333295,11.7937672,23.39055962,21.52366794,17417087.13692946,35610000000,209875900000,-15.67826929,-9.03559753,12050,20.65924868,40196000000,10467700000,2.64897479,135497900000,101203000000,887786160
SBILIFE,1497335,874985000000,61.56833297,14.2251,Finance,854.45001,0.8279188,14.22,,0,Life/Health Insurance,432968800000,-21604800000,14221700000,3.28471553,,0.91073717,17.42927923,17.05885551,,0,432968800000,-11.14288397,15.16274661,,,,,10.13082839,1655801900000,14232300000,1000040000
NTPC,12349625,873690000000,8.04379935,10.9774,Utilities,87.150002,0.76354665,11.72,296570800000,,Electric Utilities,1094640399999.9998,1893619600000,116002300000,10.24448258,0.71135657,3.28584671,10.13668746,4.27509271,,1925762500000,1094640399999.9998,-26.79546241,-32.4680341,,27.6333748,309058300000,87122100000,-6.29032043,3773871300000,569058700000,9894560000
DABUR,3529550,866831000000,60.21472393,8.1759,Consumer Non-Durables,500.95001,0.5660149,8.18,17922500000,3359700000,Household/Personal Care,87035900000,-17352700000,14449600000,16.60188497,1.42080377,16.15088586,23.61541598,23.2563492,,4671300000,87035900000,9.28229078,22.25747651,,36.48103828,31751600000,6268700000,13.06850724,93540100000,48802600000,1767060000
BAJAJ_AUTO,766793,866683000000,16.62833913,180.1142,Consumer Durables,3002.55,0.89853185,180.1763,50956400000,0,Motor Vehicles,292044500000,-30960900000,52119100000,17.4202713,1.30545243,18.7429324,23.21776002,23.21776002,27248040.6792312,0,292044500000,-5.72841444,9.56612573,10718,24.40985807,57751000000,17504400000,12.2721367,266861000000,66160200000,289367020
POWERGRID,4719748,854057000000,7.72611787,21.1361,Utilities,163.5,0.5005175,21.14,329402400000,,Electric Utilities,377435400000,1329821400000,110594000000,29.30143807,0.55444129,4.35311709,18.41567942,5.66645072,,1384211100000,377435400000,-14.06044678,-20.36044812,,56.52146036,213332000000,54846500000,-4.60909595,2566532200000,181119300000,5231590000
IOC,20607847,818090000000,,-0.976,Energy Minerals,88.300003,0.5758631,-0.97,178841400000,10400000,Oil Refining/Marketing,4843622600000,1153808600000,-8931400000,-0.18439504,0.26855281,-0.26594792,-0.85933732,-0.58935589,,1259680500000,4843622600000,-29.66945201,-40.39823897,,10.33130657,500409500000,90988299999.9999,3.5169987,3297368300000,1103868300000,9414160000
